Halbjahr;Energiebeschaffung, ct/KWh;Steuern und Abgaben, ct/KWh;Netzentgelt,  ct/KWh;Vertrieb und Marge, ct/KWh;Endverbraucherpreis,  ct/KWh
30.06.2015;2.15;2.22;1.4;0.99;6.76
30.12.2015;1.94;2.18;1.4;1.28;6.81
30.06.2016;1.34;2.09;1.5;1.68;6.61
30.12.2016;1.48;2.11;1.5;1.32;6.42
30.06.2017;1.75;2.16;1.5;0.7;6.11
30.12.2017;1.68;2.15;1.5;0.76;6.09
30.06.2018;1.95;2.2;1.51;0.42;6.08
30.12.2018;2.45;2.3;1.51;-0.18;6.08
30.06.2019;1.84;2.19;1.56;0.72;6.32
30.12.2019;1.3;2.09;1.56;0.93;5.88
30.06.2020;0.96;2.02;1.56;1.43;5.97
30.12.2020;0.96;2.03;1.56;1.65;6.2
30.06.2021;1.94;1.92;;2.61;6.47
30.12.2021;4.29;2.36;;;
